# w1 w2 "Data Height"
 16.6 0.832 27078.02
 23.2 0.852 186376.94
 23.45 0.904 164363.31
 24.72 0.908 17383.37
 25.1 0.917 23935.16
 23.71 0.94 61286.86
 24.85 0.953 62402.21
 19.39 0.967 93648.23
 17.62 0.989 30802.94
 20.92 1.019 100663.26
 20.92 1.133 123691.41
 20.92 1.192 28552.76
 32.72 1.205 19208.38
 32.59 1.218 50984.99
 22.18 1.281 62357.88
 22.95 1.323 1062046.88
 71.42 1.326 82387.41
 24.98 1.369 79421.45
 19.39 1.454 146904.16
 53.66 1.454 22267.33
 28.66 1.542 54951.73
 28.02 1.575 47336.46
 27.01 1.621 49173.97
 27.01 1.699 23117.13
 43.12 1.703 29769.17
 29.42 1.706 20656.38
 24.98 1.716 33909.01
 23.33 1.804 175317.56
 24.98 1.82 113342.73
 23.45 1.833 200041.19
 24.98 1.84 20955.93
 33.61 1.84 19669.35
 31.58 1.843 20400.93
 25.1 1.873 23084.5
 25.1 1.896 119242.97
 26.12 1.915 28560.35
 26.5 1.984 21621.59
 30.56 2.033 24634.58
 30.56 2.069 39035.34
 24.98 2.082 170774.03
 25.1 2.102 30739.92
 25.1 2.115 38844.14
 24.98 2.167 186263.34
 40.08 2.19 179604.36
 25.48 2.203 35618.43
 32.21 2.223 28308.2
 25.23 2.233 99298.69
 24.98 2.255 14627850
 25.99 2.259 74162.12
 4.93 2.259 66432.44
 27.01 2.259 65274.9
 28.4 2.259 23396.84
 1.88 2.262 25643.08
 21.8 2.262 21162.42
 137.66 2.262 19655.69
 88.93 2.262 19382.43
 0.74 2.262 18005.26
 5.31 2.265 55659.16
 6.32 2.265 18185.39
 36.4 2.269 19117.54
 25.61 2.272 93636.51
 25.61 2.285 21616.8
 25.1 2.291 81835.63
 25.1 2.305 106198.69
 26.5 2.314 18508.1
 34.62 2.314 18054.1
 25.36 2.321 32293.47
 48.45 2.327 39544.87
 34.62 2.331 25434.46
 25.1 2.34 161851.78
 26.37 2.344 25222.68
 27.39 2.344 21216.79
 25.61 2.37 20303.11
 25.1 2.393 56675.78
 32.46 2.393 32334.22
 33.99 2.406 95208.6
 25.36 2.409 25053.38
 48.58 2.412 21068.1
 25.1 2.432 218079.63
 36.52 2.439 86486.51
 48.58 2.475 44810.33
 48.45 2.488 82556.68
 48.33 2.507 1532179.02
 49.34 2.507 39439.86
 51.88 2.511 19422.24
 53.02 2.527 26100.56
 48.33 2.53 2004675.73
 49.34 2.53 44265.93
 50.36 2.53 33258.16
 49.98 2.53 32807.64
 51.5 2.53 19122.46
 25.48 2.573 22724.78
 25.1 2.619 132049.25
 48.58 2.635 51655.27
 25.1 2.641 22558.1
 48.33 2.655 1913463.5
 49.34 2.655 47178.6
 49.85 2.655 22104.95
 50.99 2.655 18224.25
 25.23 2.658 21853.26
 25.1 2.671 38001.84
 48.33 2.674 1609334.25
 16.6 2.674 43426.14
 49.34 2.677 49752.13
 50.48 2.677 19247.86
 25.1 2.691 87422.95
 48.45 2.697 48224.31
 25.86 2.707 30561.63
