#       w          Data Heig
                
  113.699 4.2329       17373
  113.656 4.2169       15814
  113.537 4.1999       14606
  113.572 4.1629       14691
  113.688 4.0519       14332
  113.519 4.0319       13120
  113.562 3.9749       13321
  113.666 3.8769       12820
  111.958 2.2519       15102
  108.927 2.9179       13107
  108.768 4.2489       13314
  108.769 4.0869       17402
  108.764 4.0429       14702
  106.674 4.2709       18120
  106.567 4.0249       15082
  106.329 4.2439       13492
  106.001 4.2229       14656
  103.055 4.2449       18161
  101.805 2.8889       12837
  100.001 4.2739       13576
   98.667 4.2039       46750
   98.012 0.0859       13960
   97.775 4.1809       16428
   94.845 2.2669       19247
   94.801 0.5859       12931
   90.177 3.8909       13293
   89.239 4.0089       15579
   88.659 2.2609       20183
   87.711 4.2369       14696
   87.658 3.4099       14360
   86.447 3.3949       14000
   85.892 0.5749       13681
   85.282 3.4919       13599
   84.595 3.2399       13107
   84.385 3.4899       14231
   84.343 3.3939       15088
   84.027 3.4089       15148
   83.973 3.8859       13224
    83.81 1.5129       12883
   83.222 4.2629       18091
    83.16 3.9779       16156
    83.22 3.8409       15986
   83.239 3.8169       20386
    83.28 3.7139       14523
   83.311 3.6959       14300
   83.266 3.2449       19313
   83.094 4.2509       19376
   83.149 4.1189       17373
   82.998 4.0959       13966
   83.051 4.0839       14361
   83.136 3.5279       16432
   83.009 3.4079       27840
    83.11 3.3979       23079
   82.979 3.3479       56017
   82.676 3.4869       22850
   82.772 3.3829       17621
     82.1 3.7119       15917
   82.147 2.2749       14358
   81.877 4.2559       14939
   81.918 3.4869       26975
   81.894 3.4709       31985
   82.062 3.3969       21103
   81.628 4.2439       16908
   81.644 3.8189       19093
   81.424 3.8419       12915
   81.132 3.7669       14329
   81.085 3.6939       17668
   81.026 3.3969       22969
   80.759 3.7279       15709
   80.859 3.5029       37194
   80.702 3.4629       39436
   80.781 3.2429       25353
   80.696 4.1179       12942
   80.673 3.5269       13782
   80.636 3.4729       39945
   80.628 3.4099       29427
    80.52 3.3809       15112
   80.273 3.4359       43590
   80.306 3.3519       13288
   80.008 3.8429       16916
   80.127 3.7099       17813
   79.994 3.6959       14966
   79.934 3.3959       34435
   79.994 3.2419       32549
   79.802 3.5019       52107
   79.442 3.4869       79942
   79.427 3.4739      100149
   79.401 3.3689       31110
    79.26 3.2699       13244
   78.833 3.8219       20492
   78.886 3.6949       28729
   78.616 3.9039       20468
   78.614 3.8909       32654
   78.645 3.8509       21422
   78.608 3.7289       60232
   78.612 3.7109       66990
   78.607 3.6469       24395
    78.72 3.5979       23597
   78.664 3.5839       30597
   78.703 3.5609       27504
   78.633 3.5399       38948
   78.595 3.5269       49375
   78.622 3.4619     1073337
   78.591 3.4069      267250
   78.703 3.0949       17740
   78.632 3.0629       14063
   78.578 3.0439       13855
     78.5 3.4889      983229
   78.455 3.2449      148079
   77.962 4.1119       13342
   77.851 3.6959       33603
   77.743 3.4229       28822
    77.59 3.7169       26455
       77 3.6619       12824
   76.949 3.4869       64259
   76.988 3.3209       28574
   77.052 3.3049       32699
   76.958 3.2909       44185
   76.971 3.2769       77694
   76.943 3.2429     1198338
   76.961 3.0639       28639
   76.986 2.8089       12975
   76.772 4.1639       14653
   76.818 4.1369       16291
   76.716 3.7479       15388
   76.652 3.7169       56603
   76.794 3.6959       54332
   76.839 3.6719       14459
   76.652 3.6359       13641
   76.827 3.5359       22051
    76.86 3.4219       60047
   76.836 3.3949       44984
   76.205 3.9979       18693
   75.915 3.8879       19656
    75.83 3.3959       52077
   75.836 3.2099       20314
   75.592 3.9739       19610
    75.55 3.9359       17290
   75.531 3.7469       37063
   75.506 3.7089      722854
   75.545 3.6729       32555
   75.396 3.7609       39866
   75.308 3.6289       22760
   75.414 3.5369      146866
   75.429 3.4119       52151
   75.018 4.0619       31819
   75.033 4.0189       29152
    74.97 3.8579       27140
   75.083 3.8179       73899
   75.073 3.6479       30192
   74.985 3.6149       27478
   75.033 1.0819       14995
   74.848 4.1189       13916
   74.813 3.8869       32072
   74.879 3.7849       37116
   74.752 3.3949       97108
   74.462 3.7419       21423
   74.568 3.6349       28857
   74.561 3.5769       31211
   74.484 3.5639       37617
   74.185 4.2549       18571
   74.261 3.9699       22910
   74.276 3.9469       16246
   74.273 3.7719       33379
   74.219 3.7529       37644
   74.304 3.7109       74911
   74.362 3.6219       30216
    74.23 3.5379      800355
   74.267 3.4419       22896
     74.2 3.0999       19854
   73.881 4.0039       13375
   74.116 3.9069       49140
   74.084 3.8219      702878
   74.071 3.4089       69053
   73.891 3.3879       44208
   73.351 4.1169       23370
   73.376 3.9299       31459
   73.179 4.1439       12923
   73.165 3.4049       94258
   73.028 4.1779       15563
   72.917 3.9719       14874
   72.584 3.9079      155979
   72.573 3.6729       18249
   72.589 3.3679       59717
   72.587 3.3219       16016
   72.285 4.2199       17186
   72.335 4.1179       65808
   72.356 3.8869       36047
    72.33 3.8669       28346
   72.382 3.8259       41711
   72.271 3.7539       34648
   72.398 3.7149       39328
   72.379 3.7029       51694
   72.375 3.6499       27141
   72.479 3.6189       16468
   72.271 3.5869       54165
   72.346 3.4909      127328
    72.34 3.4619      242028
   72.351 3.4039     1569741
   72.478 3.3499       62758
   72.428 3.0569       13269
   71.962 4.1439       16554
   71.966 4.0749       20340
   72.144 3.9359       43163
   71.754 4.1709       15288
   71.904 4.0409       41797
   71.877 3.9959       75777
   71.814 3.9789       71643
   71.563 4.1549       16477
   71.481 3.2699       19306
    71.19 4.2059       19818
   71.324 4.1839       13558
   71.245 4.1119      710055
   71.231 1.3249       78734
   70.703 3.8769       83876
