#       w          Data Heig
                
   54.386 1.4182        3744
   59.459 3.8782       33974
   59.466 2.2522       68420
   59.168 3.8272      273553
   58.837 3.9762      164116
   58.888 3.9222      264859
   58.924 3.8952       36909
   58.885 3.8772       41896
   58.842 2.2452       57503
    58.67 3.7042       65582
   58.001 2.2502       69137
   57.546 3.9602      185833
   57.401 2.2442       70713
   57.003 3.7522     1616682
   56.942 2.9012       46729
   56.635 3.8382       69577
   56.689 3.2082     1071119
   56.596 3.1852      921458
   56.472 3.9152      201521
   56.396 2.2482       42333
   56.189 3.7212      298746
   56.094 3.1012       38673
   55.923 3.8772       32809
   55.901 3.7552       75849
   56.003 3.2472      534918
   55.864 2.2452       56445
   55.606 3.4662       33652
   55.657 3.2722       37976
   55.632 3.2102       50703
   55.562 3.1882       54851
    55.26 3.7532       38275
   54.976 3.2492       45673
   55.103 2.2422       62432
   54.749 3.2822      129442
   54.167 3.9712      100616
   54.295 2.2442       39155
    53.31 3.7742      620957
   53.359 2.2532       51699
   53.317 1.4622       78318
   52.911 2.2462       65411
   52.296 3.7732       39782
   52.267 2.2442       44492
   51.708 3.3422     1028074
   50.824 2.5982       59188
   51.085 2.2372       47366
   50.662 3.3422       67222
   50.395 3.2462       98439
   49.964 4.0122       32337
   49.811 3.8162       37551
   48.867 3.4012      150601
   48.873 3.3272      143113
    48.81 2.5462       32522
    48.52 3.0862      118788
   48.518 2.5772       43929
   48.132 3.2612       68104
   48.137 2.6692     7311166
   48.141 2.6492     8158150
   48.299 2.5902       58385
   48.148 2.5152     9059393
   48.146 2.4952     7280846
   48.236 2.4382      141503
   48.251 2.4042       94667
   48.255 2.3942       88858
    48.24 2.3762       74792
    48.31 2.3392       59791
   48.236 2.3042       43787
   48.281 2.2832       49476
   48.339 2.2342       44827
   48.305 2.2142       35041
   48.245 2.2012       38745
   48.199 2.1542       36744
   48.256 2.1302       38029
   48.287 2.0882       41746
   48.159 2.0552       95302
   48.211 1.8782       47467
   48.215 1.4102       39361
   48.181 1.2772       38605
   48.183 1.2572       32927
   47.334 3.1462       99588
   47.144 2.6702      511911
   47.139 2.6502      554056
   47.127 2.5152      631560
   47.129 2.4962      489296
   46.313 2.9102       34039
    46.39 2.6712      220313
   46.378 2.6532      259227
   46.402 2.5162      256926
   46.388 2.4982      204826
   45.752 2.6712      144847
   45.762 2.6532      190250
   45.732 2.5162      179029
   45.751 2.4982      145577
   45.569 2.4222       97487
   44.982 2.6722      114077
   44.991 2.6532      150480
   44.988 2.5172      136617
   44.993 2.4992      117461
   44.309 3.5502      529723
   44.325 2.6542      111502
   44.347 2.4992       83316
   44.226 2.6722       74628
   44.189 2.5182       94999
   44.071 2.2452       35968
   43.601 2.6722       66422
   43.592 2.6532       97711
   43.605 2.5172       75436
   43.577 2.5002       65179
   43.234 3.2272      144283
   42.761 2.6742       65002
   42.758 2.6542       87393
   42.788 2.5182       57059
   42.808 2.4992       60465
   42.483 1.7152       99412
   42.482 1.6682      104012
   42.238 2.6532       74560
   42.149 2.5012       41702
   41.929 3.0132      346372
   42.039 2.5172       63898
   41.722 3.0432      162663
   41.443 2.6732       37206
   41.369 2.6532       67448
   41.387 2.5172       64985
   41.371 2.4992       44333
   41.071 3.3342       35065
   41.015 3.1422       32889
   40.898 3.3552       37736
   40.616 2.6702       44328
   40.525 2.6532       56111
   40.567 2.5162       58301
   40.468 2.4972       48102
   40.298 3.9942       32176
   40.013 3.8932       32472
   39.914 2.6542       62937
   40.006 2.5162       47717
   40.069 2.4992       47700
   39.975 2.2342       47564
   39.621 3.0182      123771
   39.809 2.6702       41481
   39.839 2.1792      785030
   39.513 3.9552       37044
   39.137 3.8432       32557
   39.178 3.7512       37018
   39.284 3.6732       35047
   39.161 3.2672       66992
   39.176 3.2512       64390
   39.249 3.2292       37316
   39.128 3.1112       65194
   39.275 2.6742       40167
   39.193 2.6532       56852
   39.207 2.5162       52593
   39.243 2.5012       45249
   39.037 4.0102       34900
   39.031 3.9822       33024
   38.919 3.9132       48381
   39.055 3.8592       32289
   38.952 3.5112       32297
   39.027 3.0882       44375
   38.988 2.2352       47233
   38.826 2.1792       55192
   38.601 3.8202       33173
   38.552 1.9592       76234
   38.351 3.8342       35134
   38.367 3.6292       33990
   38.398 3.4892       36316
   38.263 3.3982       84187
   38.307 3.0232       76083
   38.434 2.6742       40280
   38.474 2.6542       45665
   38.372 2.5162       38981
   38.398 2.4992       32769
   38.087 4.0132       35513
   38.231 3.1642       89076
   38.105 2.2342       45604
   38.166 2.1812       36088
   37.722 2.9332       45111
   37.826 2.8392       33315
   37.881 2.6542       33675
   37.816 2.4992       32541
   37.667 2.9102       53446
   37.672 2.8512       38248
   37.597 2.8252       38230
   36.964 2.6542       32017
   36.627 2.2352       40939
   36.327 2.4242      335093
   36.239 2.6532       40270
   36.171 2.5162       35385
   36.195 2.4962       33240
   35.975 3.9182       51423
   36.033 2.3302       69741
   35.718 3.9912       35427
   35.678 3.9672       37857
   35.726 2.6482       33994
   35.726 2.5132       32174
   35.653 2.5012       32902
   35.452 2.2342       54425
   34.413 1.1922       49576
    34.05 1.2202       39118
   33.522 2.4352      467959
   32.899 3.0262      134486
   32.617 1.8842      151678
   32.322 2.3842      121399
   32.225 1.2292       69280
   32.258 1.1962      143559
   32.028 1.2652       46004
    31.73 2.2622      174864
   31.749 2.2342       61725
   31.413 2.6272       40438
   31.591 2.3332       90690
   31.591 2.0452       61874
   30.895 3.2162       37646
   30.905 3.2002       51576
   30.901 3.1052       45602
   30.781 3.0822       33170
   30.396 2.2622       32317
   30.538 2.2292       44154
    30.33 1.9042       80337
    30.24 1.9182       87534
   29.974 2.2282       39979
   29.628 2.0402       36704
   29.622 1.9712       51462
   29.606 1.9592       54730
   29.489 2.2742       37389
    29.14 2.2282       45883
   29.064 2.1122      346440
   29.102 1.7062      162956
   28.438 2.2282       57971
     28.4 1.5282      211662
    27.98 2.7392       36372
   27.997 2.7112       50744
    27.96 2.4912       32732
   28.069 2.2752       49012
   27.944 2.0182       33549
   27.892 1.5582      232053
   27.709 2.2282      110994
   26.762 2.2742       64702
   26.925 2.2282      119568
   26.804 1.6072      207415
   26.867 1.5642       58236
   26.654 2.2622       95091
   26.638 1.6962       70702
   26.333 2.2282      235411
   26.341 2.2152       57514
    26.38 1.9872       70374
   26.371 1.9752       77961
   25.965 1.9022      161060
    25.89 2.2872       44046
   25.598 2.2292      762172
   25.591 2.2162      233611
   25.582 2.2042      145140
   25.583 2.1812      109263
   25.588 2.1512       78624
   25.585 2.1352       58237
   25.579 2.1202       59960
   25.579 2.1082       51141
   25.581 2.0882       47351
   25.582 2.0622       44587
   25.568 2.0472       33837
   25.579 1.9892       33433
   25.573 1.8062       33732
   25.594 1.7282       39890
    25.19 1.2232       55322
   24.901 3.4842      236858
   24.902 3.1742       35872
   24.942 3.1602       39897
   24.917 3.1302       33347
   24.937 3.1142       38893
   24.945 3.1022       40075
   24.936 3.0872       33607
   24.944 3.0722       32615
   24.887 3.0412       40270
   24.947 3.0282       49323
   24.875 3.0142       39441
   24.964 2.9982       36633
    24.92 2.9842       33116
   24.913 2.9692       47020
   24.944 2.9542       42206
   24.931 2.9402       44909
   24.955 2.9262       32813
   24.936 2.9112       34855
   24.938 2.8972       33854
     24.9 2.8532      152924
    24.93 2.8382       96297
   24.923 2.8222       75871
   24.927 2.8092       80323
   24.944 2.7932       75829
   24.906 2.7792       82847
   24.948 2.7642       81398
   24.942 2.7492       88342
   24.907 2.7352       78879
   24.931 2.7202       88657
   24.918 2.7062       90598
    24.95 2.6912       86178
    24.93 2.6772       84484
   24.946 2.6612       87777
    24.93 2.6462       89450
   24.948 2.6322       98272
   24.955 2.6182      120409
   24.954 2.6032      101685
   24.939 2.5892      127591
   24.935 2.5742      113239
   24.936 2.5592      132012
   24.947 2.5442      140459
   24.942 2.5302      145694
   24.923 2.5152      131611
   24.935 2.5012      136496
    24.93 2.4862      178069
   24.945 2.4712      174320
   24.945 2.4562      192553
   24.939 2.4422      207836
   24.932 2.4272      221043
   24.936 2.4132      244136
   24.935 2.3982      259311
   24.941 2.3832      304581
   24.934 2.3692      336042
   24.934 2.3542      384680
   24.925 2.3392      446159
   24.929 2.3252      535388
   24.933 2.3102      645985
   24.916 2.2952     1056358
   24.947 2.2812     1200788
   24.895 2.2472    59215916
    24.88 1.6322       74562
   24.889 1.0102      204175
   24.677 0.9472      287728
   24.378 1.1842       30630
    24.37 0.9172       81621
   24.086 1.4862       65009
   24.048 1.4252       60688
   23.885 2.2952       49861
   23.867 2.2812       61030
   23.877 2.2472     4689962
    23.55 0.9352      249538
   23.242 1.8192      843141
    23.42 0.9652       78734
   23.211 0.8922      566959
    23.15 2.2492     2116018
   23.198 1.7952      637570
   23.031 0.8392      700564
   22.782 1.3132     3919106
    22.85 1.2872       73832
   22.489 2.2492     1572687
   22.234 1.8202       74799
   22.204 1.7952       60648
   22.217 0.8922       49588
   22.027 0.8402       49120
   21.749 2.2502     1264652
   21.672 1.7462       35748
   21.464 1.8222       35932
    21.47 1.7972       36487
   21.034 2.2502      961181
   21.123 1.3132      187320
   20.668 1.1812      113661
   20.663 1.1242      479589
   20.606 1.0222      410522
   20.347 2.2502      834624
   20.354 1.3142      124076
   19.789 1.3152       80711
   19.561 2.2502      684753
   19.575 1.0212       32419
   19.267 0.9692      404457
   18.924 2.2502      579418
   18.928 1.4622      765215
   18.935 1.3132       57347
   18.141 2.2502      517078
   18.191 1.3142       59937
   17.912 1.4632       69264
   17.845 1.1942       49642
   17.561 1.3142       45869
   17.358 2.2502      454437
   17.322 0.9872       98081
   16.732 2.2502      391495
   16.768 1.3132       43501
   16.416 2.6632      174551
   16.391 0.8102       88922
   15.946 2.2502      393844
   15.901 1.3142       34396
   15.385 1.3132       40669
   15.181 2.2472      285987
   14.411 2.2502      229623
   13.767 2.2492      279479
   13.742 0.9172       63165
       13 2.2472      202873
   12.285 2.2482      152821
   11.573 2.2462      181361
   10.823 2.2472      160748
   10.106 2.2462       93915
    9.393 2.2492      119910
    8.541 2.2462      145327
    8.131 2.2432      109928
    7.181 2.2442       74712
    4.974 2.2442       50970
    4.269 2.2412       39100
  104.807 4.4482       33688
  104.829 2.2372       39819
  103.645 4.4422       43305
  100.426 4.3582       42448
  100.231 4.4322       62387
   100.15 4.3752       32994
  100.282 4.3412       40989
  100.227 4.2792       41166
    99.05 4.4202       37085
   99.016 4.1342       33376
   98.914 4.3902       33463
    98.62 4.0282      105446
   98.671 3.3932       41879
   98.583 3.2412      106566
    91.37 2.6562       53760
   90.874 2.2492       57635
   90.125 2.2482       40351
   88.716 4.2882       40630
   88.373 4.2642       34941
   88.158 4.3452       41844
   88.075 2.2442       41064
   87.296 2.2532       47758
   86.531 2.2502       83583
   85.964 4.4352       38978
   84.381 2.2512       61022
   83.847 3.8782       57501
   83.513 4.4442       56347
   83.483 4.3532       33986
   83.514 4.3082       35981
   83.429 4.1702       35252
   83.473 4.0072       35319
   83.607 2.2452       33313
   83.099 4.1042       49230
   83.158 3.9722       52526
   83.267 3.8172       50642
   82.875 4.1432       34962
   82.921 3.3402      328946
   82.725 4.4312       51153
    82.72 4.3992       65530
   82.616 4.1992       46347
    82.68 3.3872       63757
    82.34 4.3552       33274
   82.451 4.3332       33153
    82.46 4.2952       39594
   82.485 4.2372       35153
   82.436 3.9782       53735
   82.412 3.4912       39192
   82.466 3.4552       37649
   82.504 2.2572       51362
   81.813 4.4332       42429
   81.769 4.4082       40220
   81.782 4.0252       36613
    81.95 4.0082       33494
   81.782 3.4532       34814
   81.586 4.3762       48415
   81.563 4.3162       32678
    81.52 4.0692       34573
   81.633 3.4892       34203
    81.63 3.4752       35151
    81.32 2.2552       37500
    80.99 3.4872       34765
   81.042 3.4682       49500
   81.094 2.2772       32192
   80.734 2.2502       55023
   80.471 4.3782       35043
   80.253 3.4872       71441
    80.22 3.4302      220740
   80.189 3.3432       52391
   79.874 3.8342       46770
   79.766 4.4042       39897
   79.604 4.3752       39261
   79.584 4.3462       34214
    79.64 4.2942       38519
   79.672 3.4532      158838
   79.669 3.4022       34627
    79.75 2.2442       79665
   79.512 4.4382       50287
   79.423 4.2252       43906
   79.507 3.4832      107592
   79.441 3.2392       53386
   79.064 4.3372       49777
   79.257 4.2972       33211
   79.043 4.2112       46834
   79.207 3.4182       74240
   79.229 3.2572       37508
   78.771 4.0632       60380
   78.769 3.5622       39087
   78.787 3.3182       40543
   78.605 4.0722       54034
   78.565 3.7222      244659
   78.607 3.7032      158473
   78.617 3.5482       43267
   78.618 3.5322       52123
   78.517 3.5152      154818
   78.484 3.4822     5261006
   78.566 3.4542     6060686
   78.537 3.4002     1574436
   78.538 3.2382      662769
   78.485 2.9092       33292
   78.489 2.8822       60978
   78.528 2.2482       41590
   78.537 2.2212       36158
    78.16 4.0982       72148
   78.043 2.5162       50880
    77.98 2.4952       48276
   77.397 4.4432       45915
   77.387 4.4112       36904
   77.426 4.2422       47272
   77.473 3.4652      237206
   77.461 3.4022       54234
   77.176 4.1012       61794
   77.237 3.8132       36176
   77.261 3.6982       34609
   76.872 3.8392       63225
   76.859 3.4852      537331
   77.036 3.2972       39379
   77.009 3.2832       87297
   76.981 3.2702      137898
   76.895 3.2362     6667877
   76.968 3.1912       59220
   76.959 3.1752       38421
   76.903 2.6222       49238
   76.649 4.0382       40433
   76.345 3.3432       35241
   76.128 3.9902       75926
   76.085 3.5012       38241
   76.095 3.4642       59177
   75.859 3.8122       52713
   75.892 3.4892       61683
    75.81 3.2382      273212
    75.45 4.3122       34694
   75.498 3.9712       59671
   75.489 3.7002     3649732
   75.495 3.6652      201941
   75.454 3.6522      128551
   75.512 3.4052      224598
