Method, Sample, Cmpds, TP, FN, FP, Precision, Recall, F-score, 
SMART-Miner, N925, 27, 19, 8, 8, 0.70, 0.70, 0.70, 
COLMAR-HSQC, N925, 27, 18, 9, 3, 0.86, 0.67, 0.75, 
SpinAssigna, N925, 27, 17, 9, 73, 0.19, 0.65, 0.29, 
Metabominer, N925, 27, 15, 12, 8, 0.65, 0.56, 0.60, 
HMDB, N925, 27, 8, 19, 19, 0.30, 0.30, 0.30, 
BMRB, N925, 27, 6, 21, 21, 0.22, 0.22, 0.22, 
SMART-Miner, N987, 21, 14, 7, 5, 0.74, 0.67, 0.70, 
COLMAR-HSQC, N987, 21, 9, 12, 1, 0.90, 0.43, 0.58, 
SpinAssigna, N987, 21, 8, 13, 31, 0.21, 0.38, 0.27, 
Metabominer, N987, 21, 9, 12, 0, 1.00, 0.43, 0.60, 
HMDBb, N987, 21, 1, 20, 20, 0.05, 0.05, 0.05, 
BMRBb, N987, 21, 1, 20, 20, 0.05, 0.05, 0.05, 
SMART-Miner, N988, 24, 15, 9, 7, 0.68, 0.63, 0.65, 
COLMAR-HSQC, N988, 24, 10, 14, 0, 1.00, 0.42, 0.59, 
SpinAssigna, N988, 24, 9, 15, 28, 0.24, 0.38, 0.30, 
Metabominer, N988, 24, 16, 8, 3, 0.84, 0.67, 0.74, 
HMDB, N988, 24, 9, 15, 15, 0.38, 0.38, 0.38, 
BMRB, N988, 24, 3, 21, 21, 0.13, 0.13, 0.13
